ProductionDate,EquipmentID,ProductionLineID,CycleTimeDeviation,DefectRate,ThroughputDeviation,WaitingTimeDeviation,DowntimeDeviation,Cluster
13-08-2024,YZKEQ01,PR1,0.033,0.0,0.11,0.0,0.67,0
13-08-2024,YZKEQ02,PR1,0.033,0.0,0.11,0.0,0.67,0
13-08-2024,YZKEQ03,PR1,0.033,0.0,0.11,0.0,0.0,0
13-08-2024,YZKEQ04,PR1,0.033,0.0,0.11,0.0,0.67,0
13-08-2024,YZKEQ05,PR1,0.033,0.0,0.11,0.0,1.41,0
13-08-2024,YZKEQ06,PR1,0.033,0.0,0.11,0.0,1.41,0
13-08-2024,YZKEQ07,PR1,0.033,0.0,0.11,0.0,1.41,0
13-08-2024,YZKEQ08,PR1,0.067,0.0,0.11,0.0,1.41,0
13-08-2024,YZKEQ09,PR1,0.033,0.0,0.11,0.0,0.0,0
13-08-2024,YZKEQ10,PR1,0.067,0.0,0.11,0.0,1.4,0
13-08-2024,YZKEQ11,PR1,0.067,0.0,0.11,0.0,1.4,0
13-08-2024,YZKEQ12,PR1,0.067,0.0,0.11,0.0,1.4,0
13-08-2024,YZKEQ13,PR1,0.067,0.0,0.11,0.0,1.4,0
13-08-2024,YZKEQ14,PR1,0.067,0.0,0.11,0.0,1.4,0
13-08-2024,YZKEQ15,PR1,0.033,0.0,0.11,0.0,1.41,0
13-08-2024,YZKEQ16,PR1,0.033,0.0,0.11,0.0,1.41,0
21-08-2024,YZKEQ01,PR2,0.05,0.0,1.6,0.0,0.0,0
21-08-2024,YZKEQ02,PR2,0.05,0.0,1.6,0.15,0.67,0
21-08-2024,YZKEQ03,PR2,0.2,0.0,1.6,0.35,0.0,0
21-08-2024,YZKEQ04,PR2,0.1,0.0,1.6,0.25,0.0,0
02-09-2024,EOL-002,PR4,0.0,39.16,0.22,0.0,1.16,0
02-09-2024,EOL-002,PR6,0.0,57.14,4.57,0.0,1.16,0
02-09-2024,ICT-001,PR7,0.0,0.93,0.02,0.0,1.19,0
03-09-2024,EOL-002,PR4,0.0,21.14,0.26,0.0,0.67,0
03-09-2024,YZKEQ01,PR2,0.05,0.0,1.66,0.0,0.67,0
03-09-2024,YZKEQ02,PR2,0.05,0.0,1.6,0.1,0.67,0
03-09-2024,YZKEQ03,PR2,0.35,15.63,1.5,0.15,0.67,0
03-09-2024,YZKEQ04,PR2,0.1,0.0,1.92,0.35,0.0,0
09-09-2024,EOL-002,PR4,0.0,100.0,3.2,0.0,0.67,0
09-09-2024,ICT-001,PR7,0.0,2.94,0.94,0.0,0.67,0
10-09-2024,EOL-002,PR4,0.0,22.03,0.54,0.0,0.67,0
10-09-2024,ICT-001,PR7,0.0,0.0,0.25,0.0,0.67,0
10-09-2024,ICT-001,PR8,0.0,0.0,0.46,0.0,0.67,0
11-09-2024,EOL-002,PR4,0.0,0.0,0.52,0.0,0.67,0
11-09-2024,ICT-001,PR8,0.0,0.86,0.09,0.0,0.67,0
11-09-2024,ICT-001,PR9,0.0,0.0,1.0,0.0,0.67,0
12-09-2024,EOL-002,PR4,0.0,4.62,0.49,0.0,0.67,0
12-09-2024,ICT-001,PR8,0.0,1.48,0.02,0.0,0.67,0
12-09-2024,ICT-001,PR9,0.0,3.04,0.07,0.0,0.67,0
13-09-2024,EOL-002,PR4,0.0,2.0,0.64,0.0,0.67,0
13-09-2024,ICT-001,PR8,0.0,0.0,0.6,0.0,0.67,0
13-09-2024,ICT-001,PR9,0.0,1.24,0.2,0.0,0.67,0
